Handle,craft,fabric,color,Product Types
falguni-tunic,Ajrakh,Silk,"Blue, Beige",Uncategorized
sudarshini-kurta-set,Ajrakh,"Cotton, Mulmul","Red, Blue",Kurta Set
kairavi-kurta-set,Ajrakh,"Raw Silk, Silk","Yellow, Green",Kurta Set
indrani-anarkali-set,Ajrakh,Silk,"Grey, Blue, Beige, White",Anarkali Set
bhairavi-kurta-set,Ajrakh,"Silk, Raw Silk","Beige, Blue",Kurta Set
edith-sharara-set,Sequin Embroidery,"Georgette, Silk, Tulle","Green, Silver",Sharara Set
ayana-tunic-set,Thread Embroidery,"Georgette, Silk",White,Tunic Set
delilah-tunic,"Zari Work, Thread Embroidery","Georgette, Silk",Peach,Tunic Set
gardenia-kurta-set,"3D Embroidery, Thread Embroidery","Chanderi, Cotton, Organza",Blue,Kurta Set
pearl-tunic-set,Dori Embroidery,"Georgette, Mulmul, Silk, Crepe",White,Tunic Set
ruth-anarkali-set,Dori Embroidery,"Chanderi, Cotton, Tussar",Beige,Anarkali Set
clara-tunic,Thread Embroidery,"Georgette, Silk, Linen",Yellow,Kaftan Set
sarah-sharara-set,Dori Embroidery,"Tulle, Georgette, Tussar",Blue,Sharara Set
celia-tunic,Uncategorized,"Mulmul, Cotton, Chanderi","White, Purple",Tunic Set
helen-tunic-set,Uncategorized,"Organza, Silk, Tussar","Beige, Yellow",Tunic Set
kaytlyn-tunic,Thread Embroidery,"Georgette, Silk, Tussar",Blue,Tunic Set
angelina-skirt-top,Thread Embroidery,"Organza, Silk","White, Blue",Skirt & Top
voilet-dress,Bead Work,"Organza, Silk",Purple,Dress
eden-kurta-set,Thread Embroidery,"Organza, Silk, Georgette",Green,Kurta Set
cynthia-kurta-set,"Thread Embroidery, Swarovski","Chanderi, Cotton","Pink, White",Kurta Set
celine-jumpsuit,Bead Work,"Georgette, Silk",Blue,Jumpsuit
bella-anarkali-set,Thread Embroidery,Mulmul,"Beige, White",Anarkali Set
shelley-tunic,"Thread Embroidery, Sequin Embroidery","Georgette, Tussar, Organza",Beige,Tunic Set
celina-tunic,"Thread Embroidery, Zari Work","Organza, Silk",Blue,Tunic Set
amanda-kurta-set,"Dori Embroidery, Thread Embroidery","Georgette, Silk",Pink,Kurta Set
lauren-kurta-set,"Dori Embroidery, Thread Embroidery","Georgette, Silk",Green,Kurta Set
flora-tunic,"Thread Embroidery, 3D Embroidery, Dori Embroidery","Organza, Silk",Green,Tunic Set
josephine-anarkali-set,Thread Embroidery,"Chanderi, Cotton, Organza","Purple, Blue",Anarkali Set
june-anarkali-set,Thread Embroidery,"Chanderi, Georgette, Mulmul",Beige,Anarkali Set
kylie-tunic,"Thread Embroidery, Swarovski",Organza,Blue,Tunic Set
andra-tunic,Applique Work,Georgette,Yellow,Tunic Set
lilly-kurta-set,Applique Work,Organza,Yellow,Kurta Set
lovable-kurta-set,Applique Work,Chanderi,Green,Kurta Set
karla-kurta-set,Thread Embroidery,"Tussar, Georgette",Green,Kurta Set
