,Handle,Title,Type,Tags,Color (product.metafields.custom.colors),Craft (product.metafields.custom.craft),Delivery (product.metafields.custom.delivery),Fabric (product.metafields.custom.fabric),Fit (product.metafields.custom.fit),List of Colors (product.metafields.custom.list_of_colors),description,Fabric,Embroidery,Craft,Fit,Delivery
180,anisha-co-ordinate-set-3565,Anisha Co ordinate Set,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, Handwoven Silk Chanderi, New, Not On Sale, Pret, Sabaa, Sage Green",,,,,,,"This sage green co-ordinate set is crafted from handwoven silk chanderi. It features a layered top with straps, paired with straight-fit pants with pockets. The ensemble is adorned with multicoloured silk ribbon embroidery, enhanced with 3D embellishments with beads and sequins.",Handwoven Silk Chanderi,"This piece is adorned with multicolour silk ribbon embroidery, enhanced 3D embroidery with beads and sequins.","Silk Ribbon Embroidery, 3D Embroidery, Bead Work, Sequin Embroidery",Comfortable Fit,4-5 Weeks
181,anisha-co-ordinate-set-3565,,,,,,,,,,,,,,,
182,anisha-co-ordinate-set-3565,,,,,,,,,,,,,,,
183,anisha-co-ordinate-set-3565,,,,,,,,,,,,,,,
184,anisha-co-ordinate-set-3565,,,,,,,,,,,,,,,
185,anisha-co-ordinate-set-3565,,,,,,,,,,,,,,,
186,anisha-co-ordinate-set-3565,,,,,,,,,,,,,,,
187,anisha-co-ordinate-set-3565,,,,,,,,,,,,,,,
188,anisha-co-ordinate-set-3565,,,,,,,,,,,,,,,
189,anisha-co-ordinate-set-3565,,,,,,,,,,,,,,,
190,mehzal-co-ordinate-set-3564,Mehzal Co ordinate Set,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, Handwoven Silk Chanderi, New, Not On Sale, Pret, Sabaa, Sage Green",,,,,,,"This sage green co-ordinate set is crafted from handwoven silk chanderi. The top features a classic shirt collar, full-length sleeves with gathered cuffs, and is paired with straight-fit pants with pockets. Intricately adorned with multicoloured silk thread embroidery.",Handwoven Silk Chanderi,This piece is adorned with multicolour silk thread embroidery.,"Silk Thread Embroidery, Bead Work",Comfortable Fit,4-5 Weeks
191,mehzal-co-ordinate-set-3564,,,,,,,,,,,,,,,
192,mehzal-co-ordinate-set-3564,,,,,,,,,,,,,,,
193,mehzal-co-ordinate-set-3564,,,,,,,,,,,,,,,
194,mehzal-co-ordinate-set-3564,,,,,,,,,,,,,,,
195,mehzal-co-ordinate-set-3564,,,,,,,,,,,,,,,
196,mehzal-co-ordinate-set-3564,,,,,,,,,,,,,,,
197,mehzal-co-ordinate-set-3564,,,,,,,,,,,,,,,
198,mehzal-co-ordinate-set-3564,,,,,,,,,,,,,,,
199,mehzal-co-ordinate-set-3564,,,,,,,,,,,,,,,
200,izel-tunic-set-3563,Izel Tunic Set,Tunic Set,"Comfortable Fit, DLVRY 4-5 Weeks, Greenish-White, Handwoven Silk Chanderi, Luxury Pret, Mehendi, New, Not On Sale, Sabaa",,,,,,,"This greenish-white A-line tunic set, crafted from handwoven silk chanderi, features a touch neckline, full sleeves, and a gathered front yoke. Paired with tulip pants, the ensemble is adorned with multicolour silk thread embroidery, enhanced with beadwork, and finished with contrast piping.",Handwoven Silk Chanderi,"This piece is adorned with multicolour silk thread embroidery, enhanced with beads.","Silk Thread Embroidery, Bead Work",Comfortable Fit,4-5 Weeks
201,izel-tunic-set-3563,,,,,,,,,,,,,,,
202,izel-tunic-set-3563,,,,,,,,,,,,,,,
203,izel-tunic-set-3563,,,,,,,,,,,,,,,
204,izel-tunic-set-3563,,,,,,,,,,,,,,,
205,izel-tunic-set-3563,,,,,,,,,,,,,,,
206,izel-tunic-set-3563,,,,,,,,,,,,,,,
207,izel-tunic-set-3563,,,,,,,,,,,,,,,
208,izel-tunic-set-3563,,,,,,,,,,,,,,,
209,izel-tunic-set-3563,,,,,,,,,,,,,,,
210,ziana-tunic-set-3562,Ziana Tunic Set,Tunic Set,"Comfortable Fit, DLVRY 4-5 Weeks, Handwoven Silk Chanderi, Luxury Pret, Mehendi, New, Not On Sale, Pastel Yellow, Sabaa",,,,,,,"This light yellow A-line tunic set, crafted from handwoven silk chanderi, features a touch neckline, full sleeves, and a gathered yoke. It is paired with tulip pants, and the ensemble is adorned with multicolour silk thread embroidery, enhanced with beadwork, and finished with contrast piping.",Handwoven Silk Chanderi,"This piece is adorned with multicolour silk thread embroidery, enhanced with beads.","Silk Thread Embroidery, Bead Work",Comfortable Fit,4-5 Weeks
211,ziana-tunic-set-3562,,,,,,,,,,,,,,,
212,ziana-tunic-set-3562,,,,,,,,,,,,,,,
213,ziana-tunic-set-3562,,,,,,,,,,,,,,,
214,ziana-tunic-set-3562,,,,,,,,,,,,,,,
215,ziana-tunic-set-3562,,,,,,,,,,,,,,,
216,ziana-tunic-set-3562,,,,,,,,,,,,,,,
217,ziana-tunic-set-3562,,,,,,,,,,,,,,,
218,ziana-tunic-set-3562,,,,,,,,,,,,,,,
219,ziana-tunic-set-3562,,,,,,,,,,,,,,,
220,naz-tunic-set-3561,Naz Tunic Set,Tunic Set,"Comfortable Fit, DLVRY 4-5 Weeks, Handwoven Silk Chanderi, Luxury Pret, Mehendi, New, Not On Sale, Pastel Yellow, Sabaa",,,,,,,"This light yellow A-line tunic set, crafted from handwoven silk chanderi, features a touch neckline, three-quarter sleeves, a gathered back yoke, and is paired with straight-fit pants. The ensemble is adorned with multicolour silk thread embroidery and finished with contrast piping.",Handwoven Silk Chanderi,This piece is adorned with multicolour silk thread embroidery,Silk Thread Embroidery,Comfortable Fit,4-5 Weeks
221,naz-tunic-set-3561,,,,,,,,,,,,,,,
222,naz-tunic-set-3561,,,,,,,,,,,,,,,
223,naz-tunic-set-3561,,,,,,,,,,,,,,,
224,naz-tunic-set-3561,,,,,,,,,,,,,,,
225,naz-tunic-set-3561,,,,,,,,,,,,,,,
226,naz-tunic-set-3561,,,,,,,,,,,,,,,
